experiment,activation,seeds,num_seeds,metric,min_gamma,min_value,max_gamma,max_value,abs_range,rel_range_pct,largest_adjacent_gamma_pair,largest_adjacent_delta,gamma_values
discontinuous_gradient,gelu_b0_25,"42,43,44,45,46",5,near_far_ratio,0.0,2.444661754333011,10.0,3.3255712441562646,0.8809094898232535,36.03400299701568,1->10,0.5844352405109716,0:2.44466; 0.01:2.46242; 0.1:2.76548; 1:2.74114; 10:3.32557
discontinuous_gradient,gelu_b0_25,"42,43,44,45,46",5,neurons,0.0,24.2,10.0,25.8,1.6000000000000014,6.61157024793389,1->10,1.6000000000000014,0:24.2; 0.01:25.6; 0.1:24.6; 1:24.2; 10:25.8
discontinuous_gradient,gelu_b0_25,"42,43,44,45,46",5,near_score,1.0,9.971940827261438,0.01,10.69976415810219,0.7278233308407511,7.298712892990872,0.01->0.1,0.7269138437342395,0:10.1425; 0.01:10.6998; 0.1:9.97285; 1:9.97194; 10:10.3945
discontinuous_gradient,gelu_b0_25,"42,43,44,45,46",5,eval_h1,10.0,0.1478687196306805,0.01,0.16189896719370692,0.014030247563026427,9.48831341616308,0.01->0.1,0.010608906202503154,0:0.16135; 0.01:0.161899; 0.1:0.15129; 1:0.152487; 10:0.147869
discontinuous_gradient,gelu_b0_3,"42,43,44,45,46",5,near_grad,0.0,0.28887980788232526,10.0,0.3113016277043866,0.022421819822061317,7.761643150633363,0.1->1,0.013400251924254258,0:0.28888; 0.01:0.293391; 0.1:0.293096; 1:0.306497; 10:0.311302
discontinuous_gradient,gelu_b0_3,"42,43,44,45,46",5,far_grad,0.1,0.044760770182924,10.0,0.05413822005645982,0.009377449873535816,20.950153080952266,0.1->1,0.006242675938182271,0:0.0491141; 0.01:0.0466087; 0.1:0.0447608; 1:0.0510034; 10:0.0541382
discontinuous_gradient,gelu_b0_3,"42,43,44,45,46",5,near_far_ratio,10.0,6.125474139345007,0.01,6.711137105947455,0.585662966602448,9.561104222783847,0->0.01,0.4900990126408109,0:6.22104; 0.01:6.71114; 0.1:6.63213; 1:6.37878; 10:6.12547
discontinuous_gradient,gelu_b0_3,"42,43,44,45,46",5,neurons,10.0,39.8,0.01,46.8,7.0,17.587939698492463,0->0.01,2.799999999999997,0:44; 0.01:46.8; 0.1:44.8; 1:42.2; 10:39.8
discontinuous_gradient,gelu_b0_3,"42,43,44,45,46",5,near_score,10.0,12.243891748383012,0.01,13.627491465427694,1.3835997170446817,11.30032628087721,0->0.01,1.0936689106590212,0:12.5338; 0.01:13.6275; 0.1:13.1515; 1:12.7086; 10:12.2439
discontinuous_gradient,gelu_b0_3,"42,43,44,45,46",5,eval_h1,0.1,0.08495374110704819,10.0,0.09530665988310696,0.010352918776058775,12.186536627048959,0.1->1,0.005800141875724238,0:0.0853472; 0.01:0.0858912; 0.1:0.0849537; 1:0.0907539; 10:0.0953067
